SF,PWR,RSSI,Packet RSSI,SNR,send_time,rec_time,time_diff
12,2,-99,-56,9,1716290228040,1716408630329,118402289
12,3,-97,-54,8,1716290230845,1716408633132,118402287
12,4,-100,-54,11,1716290233651,1716408635939,118402288
12,5,-99,-75,8,1716290236456,1716408638743,118402287
12,6,-100,-76,9,1716290239262,1716408641550,118402288
12,7,-102,-75,9,1716290242068,1716408644356,118402288
12,8,-99,-73,9,1716290244874,1716408647162,118402288
12,9,-102,-70,9,1716290247679,1716408649966,118402287
12,10,-100,-72,9,1716290250484,1716408652771,118402287
12,11,-99,-72,9,1716290253288,1716408655575,118402287
12,12,-102,-70,10,1716290256092,1716408658380,118402288
12,13,-99,-69,10,1716290258897,1716408661185,118402288
12,14,-108,-77,9,1716290261701,1716408663989,118402288
12,15,-78,-72,8,1716290264505,1716408666793,118402288
12,15,-99,-74,9,1716290266907,1716408668440,118401533
12,15,-81,-75,12,1716290269308,1716408670768,118401460
12,15,-80,-77,9,1716290271710,1716408672415,118400705
12,15,-62,-74,9,1716290271710,1716408674061,118402351
12,15,-98,-78,9,1716290274111,1716408675708,118401597
12,15,-68,-65,12,1716290276513,1716408677972,118401459
12,15,-68,-65,9,1716290278914,1716408679620,118400706
12,15,-69,-63,10,1716290278914,1716408681266,118402352
12,15,-99,-64,8,1716290281316,1716408682913,118401597
12,15,-68,-65,10,1716290283717,1716408685177,118401460
12,15,-70,-69,11,1716290286118,1716408686824,118400706
12,15,-72,-69,10,1716290286118,1716408688470,118402352
12,15,-99,-74,10,1716290288520,1716408690117,118401597
12,15,-77,-73,10,1716290290921,1716408692381,118401460
12,15,-76,-72,8,1716290293323,1716408694028,118400705
12,15,-76,-73,10,1716290293323,1716408695674,118402351
12,15,-102,-77,12,1716290295724,1716408697322,118401598
12,15,-75,-70,10,1716290298126,1716408699586,118401460
12,15,-74,-69,12,1716290300527,1716408701233,118400706
12,15,-74,-70,10,1716290300527,1716408702879,118402352
12,15,-102,-73,8,1716290302929,1716408704526,118401597
12,15,-74,-69,11,1716290305330,1716408706790,118401460
12,15,-74,-69,9,1716290307731,1716408708436,118400705
12,15,-72,-69,9,1716290307731,1716408710083,118402352
12,15,-102,-73,10,1716290310133,1716408711729,118401596
12,15,-70,-64,8,1716290312535,1716408713995,118401460
12,15,-68,-65,9,1716290314937,1716408715641,118400704
12,15,-63,-59,9,1716290314937,1716408717287,118402350
12,15,-100,-66,11,1716290317338,1716408718935,118401597
12,15,-63,-61,12,1716290319740,1716408721199,118401459
12,15,-66,-62,11,1716290322141,1716408722846,118400705
12,15,-64,-62,14,1716290322141,1716408724492,118402351
12,15,-102,-66,9,1716290324543,1716408726140,118401597
12,15,-63,-59,10,1716290326944,1716408728404,118401460
12,15,-63,-60,10,1716290329346,1716408730051,118400705
12,15,-64,-60,11,1716290329346,1716408731697,118402351
12,15,-100,-66,11,1716290331748,1716408733344,118401596
12,15,-66,-61,9,1716290334149,1716408735609,118401460
12,15,-68,-61,12,1716290336551,1716408737256,118400705
12,15,-64,-60,10,1716290336551,1716408738903,118402352
12,15,-100,-64,12,1716290338952,1716408740549,118401597
12,15,-64,-60,14,1716290341354,1716408742813,118401459
12,15,-63,-61,9,1716290343755,1716408744460,118400705
