SF,PWR,RSSI,Packet RSSI,SNR,send_time,rec_time,time_diff
12,2,-98,-58,9,1716290228290,1716407779424,117551134
12,3,-102,-59,11,1716290231097,1716407782229,117551132
12,4,-102,-58,10,1716290233901,1716407785034,117551133
12,5,-100,-63,9,1716290236707,1716407787840,117551133
12,6,-102,-72,12,1716290239512,1716407790644,117551132
12,7,-99,-74,9,1716290242317,1716407793450,117551133
12,8,-102,-71,8,1716290245125,1716407796257,117551132
12,9,-99,-77,8,1716290247931,1716407799063,117551132
12,10,-102,-70,9,1716290250735,1716407801868,117551133
12,11,-102,-72,8,1716290253540,1716407804672,117551132
12,12,-100,-76,11,1716290256344,1716407807477,117551133
12,13,-98,-71,10,1716290259149,1716407810281,117551132
12,14,-100,-74,10,1716290261953,1716407813087,117551134
12,15,-69,-65,10,1716290264758,1716407815891,117551133
12,15,-100,-72,10,1716290267159,1716407817537,117550378
12,15,-64,-59,10,1716290269561,1716407819865,117550304
12,15,-63,-60,12,1716290271962,1716407821512,117549550
12,15,-62,-59,10,1716290271962,1716407823159,117551197
12,15,-104,-63,8,1716290274364,1716407824806,117550442
12,15,-60,-57,8,1716290276765,1716407827069,117550304
12,15,-62,-57,12,1716290279167,1716407828717,117549550
12,15,-62,-57,9,1716290279167,1716407830363,117551196
12,15,-99,-64,9,1716290281568,1716407832010,117550442
12,15,-62,-57,8,1716290283970,1716407834274,117550304
12,15,-62,-58,10,1716290286371,1716407835921,117549550
12,15,-62,-57,11,1716290286371,1716407837568,117551197
12,15,-102,-63,10,1716290288772,1716407839215,117550443
12,15,-62,-58,8,1716290291174,1716407841479,117550305
12,15,-62,-58,12,1716290293575,1716407843126,117549551
12,15,-62,-58,11,1716290293575,1716407844772,117551197
12,15,-100,-63,10,1716290295977,1716407846419,117550442
12,15,-62,-59,10,1716290298378,1716407848683,117550305
12,15,-66,-59,11,1716290300780,1716407850331,117549551
12,15,-63,-59,9,1716290300780,1716407851977,117551197
12,15,-100,-64,9,1716290303181,1716407853624,117550443
12,15,-62,-58,8,1716290305583,1716407855888,117550305
12,15,-60,-58,11,1716290307984,1716407857534,117549550
12,15,-62,-58,8,1716290307984,1716407859181,117551197
12,15,-99,-63,10,1716290310386,1716407860828,117550442
12,15,-60,-58,8,1716290312787,1716407863091,117550304
12,15,-60,-58,10,1716290315188,1716407864738,117549550
12,15,-62,-58,11,1716290315188,1716407866385,117551197
12,15,-99,-64,10,1716290317590,1716407868032,117550442
12,15,-62,-58,10,1716290319991,1716407870296,117550305
12,15,-60,-59,8,1716290322393,1716407871942,117549549
12,15,-60,-58,11,1716290322393,1716407873589,117551196
12,15,-100,-62,12,1716290324794,1716407875236,117550442
12,15,-60,-57,10,1716290327195,1716407877500,117550305
12,15,-62,-58,11,1716290329597,1716407879147,117549550
12,15,-64,-58,10,1716290329597,1716407880793,117551196
12,15,-100,-64,11,1716290331998,1716407882440,117550442
12,15,-62,-59,12,1716290334400,1716407884704,117550304
12,15,-62,-58,9,1716290336801,1716407886351,117549550
12,15,-62,-58,10,1716290336801,1716407887997,117551196
12,15,-100,-64,8,1716290339203,1716407889644,117550441
12,15,-62,-58,8,1716290341604,1716407891908,117550304
12,15,-62,-58,11,1716290344006,1716407893555,117549549
12,15,-62,-58,12,1716290344006,1716407895202,117551196
12,15,-97,-61,14,1716290346407,1716407896849,117550442
12,15,-62,-58,13,1716290348809,1716407899113,117550304
12,15,-62,-56,11,1716290351210,1716407900760,117549550
12,15,-60,-56,13,1716290351210,1716407902407,117551197
12,15,-102,-63,8,1716290353611,1716407904053,117550442
12,15,-60,-57,9,1716290356013,1716407906317,117550304
12,15,-60,-57,12,1716290358414,1716407907964,117549550
12,15,-62,-57,12,1716290358414,1716407909611,117551197
12,15,-104,-63,8,1716290360816,1716407911257,117550441
12,15,-62,-57,10,1716290363217,1716407913522,117550305
12,15,-62,-58,9,1716290365619,1716407915168,117549549
12,15,-62,-57,12,1716290365619,1716407916816,117551197
12,15,-100,-63,12,1716290368020,1716407918462,117550442
12,15,-62,-57,8,1716290370422,1716407920726,117550304
12,15,-62,-57,9,1716290372823,1716407922373,117549550
12,15,-62,-58,9,1716290372823,1716407924020,117551197
12,15,-102,-64,9,1716290375225,1716407925667,117550442
12,15,-62,-58,11,1716290377626,1716407927930,117550304
12,15,-63,-58,11,1716290380028,1716407929577,117549549
12,15,-62,-58,10,1716290380028,1716407931224,117551196
12,15,-104,-64,9,1716290382429,1716407932871,117550442
12,15,-62,-58,10,1716290384831,1716407935135,117550304
12,15,-62,-58,9,1716290387232,1716407936781,117549549
12,15,-62,-58,8,1716290387232,1716407938428,117551196
12,15,-102,-63,11,1716290389634,1716407940075,117550441
12,15,-62,-57,8,1716290392035,1716407942339,117550304
12,15,-62,-57,9,1716290394437,1716407943986,117549549
12,15,-63,-57,8,1716290394437,1716407945633,117551196
12,15,-100,-64,9,1716290396838,1716407947280,117550442
12,15,-63,-59,9,1716290399239,1716407949544,117550305
12,15,-63,-58,9,1716290401641,1716407951191,117549550
12,15,-63,-58,10,1716290401641,1716407952838,117551197
12,15,-101,-64,9,1716290404042,1716407954483,117550441
12,15,-62,-58,11,1716290406444,1716407956748,117550304
12,15,-62,-58,10,1716290408845,1716407958395,117549550
12,15,-63,-58,9,1716290408845,1716407960042,117551197
12,15,-102,-63,8,1716290411247,1716407961689,117550442
12,15,-62,-58,11,1716290413648,1716407963953,117550305
12,15,-64,-61,9,1716290416050,1716407965599,117549549
12,15,-62,-60,10,1716290416050,1716407967245,117551195
12,15,-102,-65,9,1716290418451,1716407968893,117550442
12,15,-63,-60,10,1716290420853,1716407971156,117550303
12,15,-63,-59,9,1716290423254,1716407972804,117549550
12,15,-63,-59,9,1716290423254,1716407974450,117551196
12,15,-104,-65,9,1716290425656,1716407976097,117550441
12,15,-64,-59,10,1716290428057,1716407978361,117550304
12,15,-63,-60,9,1716290430459,1716407980008,117549549
12,15,-64,-60,11,1716290430459,1716407981655,117551196
12,15,-104,-66,9,1716290432860,1716407983301,117550441
12,15,-63,-59,9,1716290435261,1716407985565,117550304
12,15,-62,-59,9,1716290437663,1716407987212,117549549
12,15,-63,-57,9,1716290437663,1716407988860,117551197
12,15,-101,-64,9,1716290440064,1716407990505,117550441
12,15,-66,-59,10,1716290442466,1716407992770,117550304
12,15,-63,-59,9,1716290444867,1716407994416,117549549
12,15,-63,-59,9,1716290444867,1716407996063,117551196
12,15,-100,-66,7,1716290447269,1716407997709,117550440
12,15,-63,-59,8,1716290449670,1716407999974,117550304
